,count,mean,std,min,25%,50%,75%,max
followers,2756543.0,10504.572507361583,50692.75565052384,0.0,78.0,414.0,1979.0,432032.76000000164
following,2756543.0,1206.449466335189,2334.0019194975216,0.0,70.0,336.0,1207.0,15774.580000000075
favorite_count,2756543.0,3.7869367537527983,13.894066505728043,0.0,0.0,0.0,2.0,109.0
retweetcount,2756543.0,0.8718768399404616,3.253078541983249,0.0,0.0,0.0,0.0,25.0
