,followers,following,favorite_count,retweetcount
followers,1.0,0.11409444824638308,0.29663852487876174,0.29325898817715046
following,0.11409444824638308,1.0,0.06254288433677048,0.09735079876915897
favorite_count,0.29663852487876174,0.06254288433677048,1.0,0.8572446387202681
retweetcount,0.29325898817715046,0.09735079876915897,0.8572446387202681,1.0
