,followers,following,favorite_count,retweetcount
followers,1.0,0.11666014172260669,0.29818703638599403,0.2964604912196248
following,0.11666014172260669,1.0,0.06127611576001331,0.09667073893895073
favorite_count,0.29818703638599403,0.06127611576001331,1.0,0.8552753624885536
retweetcount,0.2964604912196248,0.09667073893895073,0.8552753624885536,1.0
