,count,mean,std,min,25%,50%,75%,max
followers,2756543.0,10434.280873949721,50064.142523103175,0.0,79.0,414.0,1981.0,425152.3200000003
following,2756543.0,1208.562508286649,2340.24949345385,0.0,71.0,338.0,1207.0,15827.580000000075
favorite_count,2756543.0,3.8073822900640404,14.00750922009732,0.0,0.0,0.0,2.0,110.0
retweetcount,2756543.0,0.8727043256716837,3.2580256645759307,0.0,0.0,0.0,0.0,25.0
