,count,mean,std,min,25%,50%,75%,max
followers,2756543.0,10542.122758716272,50911.74239126548,0.0,79.0,414.0,1973.0,434387.48000000045
following,2756543.0,1206.1171862728063,2336.7805950425577,0.0,70.0,337.0,1205.0,15819.0
favorite_count,2756543.0,3.7640856681720547,13.786682953919394,0.0,0.0,0.0,2.0,108.0
retweetcount,2756543.0,0.8585050187862115,3.171704337340448,0.0,0.0,0.0,0.0,24.0
